127.0.0.1 - - [16/May/2015:21:34:38 +0800] "GET /jquery.min.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:38 +0800] "GET /jq.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:38 +0800] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:38 +0800] "GET /jquery.min.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:38 +0800] "GET /jq.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:39 +0800] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:39 +0800] "GET /jquery.min.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:39 +0800] "GET /jq.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:39 +0800] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
127.0.0.1 - - [16/May/2015:21:34:39 +0800] "GET /jquery.min.js HTTP/1.1" 304 0 "http://0.0.0.0:9000/" "Mozilla/5.0 (Linux; U; Android 2.3; en-us; SAMSUNG-SGH-I717 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
